DATA,CLIENTE,NF,Status
18/05/2026,SAO GERALDO - MATRIZ SAO GONÇALO,277472,RECEBIDO
18/05/2026,SAO GERALDO - MATRIZ SAO GONÇALO,277473,RECEBIDO
19/05/2026,SAO GERALDO - CARDOSO FONTES,277562,EM_ABERTO
19/05/2026,SAO GERALDO - OCEANICO,277563,RECEBIDO
19/05/2026,SAO GERALDO - MATRIZ SAO GONÇALO,277577,RECEBIDO
20/05/2026,SAO GERALDO - CARDOSO FONTES,277654,EM_ABERTO
20/05/2026,SAO GERALDO - OCEANICO,277656,EM_ABERTO
20/05/2026,SAO GERALDO - MATRIZ SAO GONÇALO,277676,EM_ABERTO
27/05/2026,GUSTO - HOSPITAL ALBERT,278184,EM_ABERTO
28/05/2026,BARLETTA - CUMBUCA MARACANA,278260,RECEBIDO
28/05/2026,IGREJA SANTO ANTONIO NOVA IGUAÍ - MITRA DIOCESANA DE NOVA IGUAÍ,278352,ATRASADO
30/05/2026,UFF,278497,NÃO ENCONTRADA
02/06/2026,IGREJA SANTO ANTONIO NOVA IGUAÍ - MITRA DIOCESANA DE NOVA IGUAÍ,278653,ATRASADO
12/03/2026,SAPORE - CHN,272180,RECEBIDO
12/03/2026,SAPORE - CHN,272138,ATRASADO
25/03/2026,SAPORE - CHN,273207,RECEBIDO
25/03/2026,SAPORE - CHN,273164,NÃO ENCONTRADA
